,Unnamed: 0,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2598,899477,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-09,-41,-14,-38,-46,-33,15
2599,899478,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-10,-38,-11,-33,-44,-32,14
2600,899479,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-11,-37,-9,-31,-46,-32,15
2601,899480,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-12,-36,-3,-30,-44,-28,14
2602,899481,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-13,-37,0,-28,-40,-7,9
2603,899482,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-14,-43,-12,-40,-48,-3,9
2604,899483,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-15,-34,-6,-34,-41,-25,12
2605,899484,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-16,-32,-3,-28,-40,-31,13
2606,899485,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-17,-32,-7,-28,-41,-31,13
2607,899486,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-18,-33,-7,-29,-41,-32,14
2608,899487,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-19,-32,-3,-29,-40,-27,12
2609,899488,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-20,-33,3,-26,-36,-7,8
2610,899489,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-21,-40,-8,-38,-44,8,5
2611,899490,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-22,-35,-14,-36,-41,-28,12
2612,899491,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-23,-33,-9,-30,-40,-33,13
2613,899492,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-24,-33,-11,-30,-41,-32,13
2614,899493,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-25,-34,-10,-31,-43,-32,14
2615,899494,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-26,-33,-6,-30,-42,-28,14
2616,899495,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-27,-35,-3,-24,-38,-9,8
2617,899496,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-28,-39,-12,-30,-43,-2,7
2618,899497,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-29,-31,-8,-30,-40,-25,11
2619,899498,MX,Mexico,Jalisco,,,MX-JAL,,2020-06-30,-29,-5,-31,-39,-31,12
2620,899499,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-01,-28,-5,-31,-38,-32,12
2621,899500,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-02,-28,-4,-28,-39,-32,13
2622,899501,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-03,-28,-1,-26,-41,-28,12
2623,899502,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-04,-32,-1,-24,-39,-9,7
2624,899503,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-05,-37,-10,-28,-42,-4,6
2625,899504,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-06,-30,-8,-31,-41,-26,11
2626,899505,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-07,-30,-7,-28,-42,-33,12
2627,899506,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-08,-32,-11,-33,-44,-32,13
2628,899507,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-09,-32,-9,-32,-42,-32,13
2629,899508,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-10,-30,-3,-27,-38,-28,12
2630,899509,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-11,-35,-4,-27,-35,-9,7
2631,899510,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-12,-41,-15,-35,-41,-5,7
2632,899511,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-13,-32,-10,-31,-38,-27,11
2633,899512,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-14,-29,-8,-28,-39,-33,11
2634,899513,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-15,-26,-5,-29,-37,-31,11
2635,899514,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-16,-27,-4,-28,-39,-32,12
2636,899515,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-17,-28,-2,-27,-38,-28,12
2637,899516,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-18,-32,-3,-27,-35,-10,7
2638,899517,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-19,-37,-11,-31,-39,-4,6
2639,899518,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-20,-29,-8,-29,-38,-27,11
2640,899519,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-21,-29,-9,-27,-39,-33,11
2641,899520,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-22,-30,-11,-30,-39,-32,12
2642,899521,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-23,-31,-11,-32,-40,-32,13
2643,899522,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-24,-30,-6,-30,-38,-28,12
2644,899523,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-25,-34,-5,-25,-33,-10,7
2645,899524,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-26,-37,-11,-28,-39,-5,6
2646,899525,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-27,-30,-10,-29,-37,-27,11
2647,899526,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-28,-31,-12,-30,-39,-33,12
2648,899527,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-29,-30,-13,-36,-40,-34,13
2649,899528,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-30,-26,-7,-30,-36,-33,12
2650,899529,MX,Mexico,Jalisco,,,MX-JAL,,2020-07-31,-25,-1,-28,-36,-29,12
2651,899530,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-01,-28,1,-23,-29,-10,6
2652,899531,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-02,-33,-8,-28,-35,-6,6
2653,899532,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-03,-25,-7,-29,-34,-27,10
2654,899533,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-04,-25,-7,-25,-34,-32,11
2655,899534,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-05,-25,-8,-26,-35,-32,12
2656,899535,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-06,-25,-8,-25,-35,-32,12
2657,899536,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-07,-25,-4,-23,-35,-28,11
2658,899537,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-08,-29,-3,-20,-29,-10,6
2659,899538,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-09,-34,-12,-30,-34,-7,6
2660,899539,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-10,-26,-11,-30,-32,-26,10
2661,899540,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-11,-26,-10,-28,-35,-32,11
2662,899541,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-12,-25,-10,-27,-34,-32,11
2663,899542,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-13,-24,-8,-28,-34,-32,11
2664,899543,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-14,-21,0,-23,-32,-27,10
2665,899544,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-15,-24,2,-19,-26,-10,5
2666,899545,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-16,-29,-6,-24,-31,-5,4
2667,899546,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-17,-23,-7,-27,-33,-26,9
2668,899547,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-18,-24,-9,-30,-34,-31,11
2669,899548,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-19,-21,-7,-23,-34,-31,11
2670,899549,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-20,-20,-6,-17,-32,-31,11
2671,899550,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-21,-21,-3,-18,-32,-27,10
2672,899551,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-22,-24,-2,-13,-28,-9,5
2673,899552,MX,Mexico,Jalisco,,,MX-JAL,,2020-08-23,-28,-8,-19,-31,-4,5
2674,899553,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-15,6,4,5,4,3,-1
2675,899554,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-16,9,6,7,7,2,-1
2676,899555,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-17,2,2,2,4,9,-2
2677,899556,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-18,1,0,2,2,7,-1
2678,899557,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-19,0,0,4,2,5,-1
2679,899558,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-20,0,-1,2,3,6,-1
2680,899559,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-21,0,0,3,4,10,-1
2681,899560,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-22,3,1,15,6,3,0
2682,899561,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-23,6,3,12,12,1,-1
2683,899562,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-24,-1,-2,2,2,9,-2
2684,899563,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-25,0,-1,4,0,5,-1
2685,899564,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-26,-1,0,7,1,6,-1
2686,899565,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-27,1,1,3,2,6,-1
2687,899566,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-28,3,8,6,6,10,-2
2688,899567,MX,Mexico,Mexico City,,,MX-CMX,,2020-02-29,5,9,11,6,5,-1
2689,899568,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-01,6,10,10,11,2,-1
2690,899569,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-02,2,7,1,5,9,-2
2691,899570,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-03,3,5,3,2,7,-1
2692,899571,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-04,0,5,3,3,6,-1
2693,899572,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-05,1,2,2,3,6,-1
2694,899573,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-06,-1,2,1,3,10,-1
2695,899574,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-07,0,2,8,2,6,0
2696,899575,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-08,4,4,24,9,4,-1
2697,899576,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-09,-17,-11,-16,-24,-25,10
2698,899577,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-10,-1,2,3,3,8,-1
2699,899578,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-11,-1,2,3,1,6,-1
2700,899579,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-12,1,3,3,2,6,-1
2701,899580,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-13,0,7,1,3,5,0
2702,899581,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-14,-3,7,-3,0,3,-1
2703,899582,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-15,-4,2,-5,-2,1,-1
2704,899583,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-16,-23,-2,-22,-44,-63,15
2705,899584,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-17,-10,4,-12,-13,-6,3
2706,899585,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-18,-16,1,-17,-20,-13,8
2707,899586,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-19,-22,-3,-23,-25,-17,9
2708,899587,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-20,-27,-3,-25,-28,-17,11
2709,899588,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-21,-35,-9,-38,-31,-8,10
2710,899589,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-22,-37,-12,-41,-32,-9,8
2711,899590,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-23,-35,-16,-34,-39,-33,15
2712,899591,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-24,-39,-17,-38,-44,-40,17
2713,899592,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-25,-42,-19,-41,-47,-42,19
2714,899593,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-26,-44,-21,-43,-49,-44,20
2715,899594,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-27,-47,-20,-43,-50,-42,22
2716,899595,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-28,-47,-17,-47,-44,-20,14
2717,899596,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-29,-49,-21,-55,-46,-21,12
2718,899597,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-30,-43,-20,-43,-51,-46,19
2719,899598,MX,Mexico,Mexico City,,,MX-CMX,,2020-03-31,-44,-18,-45,-53,-50,21
2720,899599,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-01,-48,-15,-49,-56,-53,22
2721,899600,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-02,-59,-17,-53,-57,-55,24
2722,899601,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-03,-67,-16,-53,-57,-53,26
2723,899602,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-04,-67,-16,-57,-52,-33,18
2724,899603,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-05,-69,-22,-61,-53,-32,14
2725,899604,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-06,-65,-23,-51,-59,-58,24
2726,899605,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-07,-63,-25,-53,-62,-61,25
2727,899606,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-08,-63,-23,-54,-61,-61,25
2728,899607,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-09,-70,-29,-62,-69,-73,29
2729,899608,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-10,-78,-40,-68,-76,-78,35
2730,899609,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-11,-74,-36,-67,-67,-52,22
2731,899610,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-12,-70,-36,-67,-59,-36,14
2732,899611,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-13,-63,-28,-54,-61,-58,24
2733,899612,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-14,-63,-26,-54,-62,-59,25
2734,899613,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-15,-61,-22,-54,-61,-59,26
2735,899614,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-16,-63,-25,-56,-63,-60,27
2736,899615,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-17,-65,-26,-57,-62,-57,29
2737,899616,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-18,-67,-30,-62,-58,-35,19
2738,899617,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-19,-67,-32,-65,-56,-31,14
2739,899618,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-20,-64,-31,-55,-62,-57,24
2740,899619,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-21,-66,-34,-61,-65,-59,26
2741,899620,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-22,-67,-33,-61,-65,-60,27
2742,899621,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-23,-70,-38,-63,-67,-61,29
2743,899622,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-24,-71,-36,-64,-66,-58,30
2744,899623,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-25,-70,-35,-66,-61,-38,21
2745,899624,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-26,-69,-36,-68,-59,-34,16
2746,899625,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-27,-67,-35,-59,-65,-59,26
2747,899626,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-28,-67,-35,-61,-66,-61,22
2748,899627,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-29,-66,-29,-61,-65,-61,28
2749,899628,MX,Mexico,Mexico City,,,MX-CMX,,2020-04-30,-61,-23,-61,-62,-60,26
2750,899629,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-01,-72,-31,-66,-72,-72,34
2751,899630,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-02,-68,-28,-63,-60,-40,21
2752,899631,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-03,-68,-33,-67,-59,-33,15
2753,899632,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-04,-66,-30,-59,-64,-60,26
2754,899633,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-05,-68,-34,-64,-67,-64,28
2755,899634,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-06,-69,-35,-64,-67,-63,29
2756,899635,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-07,-69,-35,-64,-68,-64,30
2757,899636,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-08,-70,-36,-65,-67,-61,32
2758,899637,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-09,-69,-33,-68,-61,-41,22
2759,899638,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-10,-67,-37,-70,-60,-29,15
2760,899639,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-11,-69,-39,-64,-66,-61,27
2761,899640,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-12,-67,-35,-62,-67,-62,28
2762,899641,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-13,-67,-34,-62,-67,-62,29
2763,899642,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-14,-67,-33,-63,-66,-62,29
2764,899643,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-15,-66,-28,-62,-64,-59,30
2765,899644,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-16,-66,-28,-64,-58,-37,21
2766,899645,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-17,-67,-33,-67,-58,-31,16
2767,899646,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-18,-65,-31,-60,-63,-59,26
2768,899647,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-19,-66,-31,-61,-65,-61,28
2769,899648,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-20,-68,-30,-60,-65,-61,28
2770,899649,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-21,-70,-32,-62,-65,-62,29
2771,899650,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-22,-71,-31,-63,-64,-57,30
2772,899651,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-23,-70,-29,-64,-58,-34,21
2773,899652,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-24,-70,-34,-66,-57,-28,16
2774,899653,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-25,-67,-29,-58,-62,-58,26
2775,899654,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-26,-68,-31,-60,-65,-59,27
2776,899655,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-27,-69,-33,-61,-65,-59,28
2777,899656,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-28,-69,-32,-62,-65,-60,28
2778,899657,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-29,-68,-24,-60,-62,-55,29
2779,899658,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-30,-66,-22,-62,-55,-27,19
2780,899659,MX,Mexico,Mexico City,,,MX-CMX,,2020-05-31,-68,-28,-67,-54,-21,14
2781,899660,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-01,-64,-20,-55,-59,-54,24
2782,899661,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-02,-65,-23,-56,-61,-57,26
2783,899662,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-03,-66,-25,-56,-61,-57,27
2784,899663,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-04,-67,-26,-57,-61,-57,27
2785,899664,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-05,-67,-24,-58,-61,-53,28
2786,899665,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-06,-66,-23,-60,-54,-27,19
2787,899666,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-07,-68,-30,-64,-54,-21,15
2788,899667,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-08,-65,-29,-57,-59,-54,24
2789,899668,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-09,-65,-29,-58,-62,-56,26
2790,899669,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-10,-63,-25,-54,-60,-55,26
2791,899670,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-11,-64,-26,-56,-61,-56,26
2792,899671,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-12,-65,-22,-55,-59,-51,27
2793,899672,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-13,-63,-19,-55,-52,-22,18
2794,899673,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-14,-64,-25,-57,-51,-14,13
2795,899674,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-15,-58,-19,-47,-55,-51,23
2796,899675,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-16,-59,-19,-48,-57,-53,24
2797,899676,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-17,-60,-19,-48,-57,-53,25
2798,899677,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-18,-61,-21,-50,-58,-54,25
2799,899678,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-19,-63,-19,-51,-56,-50,24
2800,899679,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-20,-62,-19,-55,-50,-20,17
2801,899680,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-21,-63,-25,-59,-49,-7,11
2802,899681,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-22,-62,-28,-55,-57,-54,23
2803,899682,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-23,-62,-27,-51,-59,-54,24
2804,899683,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-24,-61,-23,-52,-57,-53,25
2805,899684,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-25,-61,-23,-53,-57,-53,25
2806,899685,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-26,-62,-20,-50,-56,-49,26
2807,899686,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-27,-62,-19,-51,-49,-20,16
2808,899687,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-28,-63,-24,-53,-48,-11,12
2809,899688,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-29,-56,-21,-49,-54,-50,22
2810,899689,MX,Mexico,Mexico City,,,MX-CMX,,2020-06-30,-52,-13,-45,-54,-51,22
2811,899690,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-01,-52,-13,-46,-53,-51,22
2812,899691,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-02,-53,-15,-45,-53,-52,22
2813,899692,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-03,-56,-15,-48,-52,-48,23
2814,899693,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-04,-56,-16,-51,-45,-18,15
2815,899694,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-05,-57,-22,-55,-44,-11,11
2816,899695,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-06,-53,-20,-46,-51,-50,21
2817,899696,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-07,-53,-19,-45,-54,-52,22
2818,899697,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-08,-52,-20,-46,-53,-51,22
2819,899698,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-09,-54,-24,-49,-53,-51,23
2820,899699,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-10,-54,-17,-45,-51,-47,23
2821,899700,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-11,-53,-17,-47,-44,-16,14
2822,899701,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-12,-55,-24,-52,-43,-9,11
2823,899702,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-13,-50,-20,-43,-51,-49,20
2824,899703,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-14,-47,-19,-44,-52,-51,21
2825,899704,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-15,-44,-12,-42,-50,-49,21
2826,899705,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-16,-46,-13,-41,-50,-50,21
2827,899706,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-17,-50,-15,-44,-50,-46,21
2828,899707,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-18,-49,-15,-45,-42,-15,13
2829,899708,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-19,-49,-20,-48,-41,-8,9
2830,899709,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-20,-47,-19,-42,-50,-48,19
2831,899710,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-21,-46,-19,-40,-51,-50,21
2832,899711,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-22,-47,-19,-41,-51,-49,21
2833,899712,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-23,-48,-19,-41,-51,-49,21
2834,899713,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-24,-51,-18,-44,-50,-45,22
2835,899714,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-25,-50,-19,-45,-42,-16,13
2836,899715,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-26,-51,-25,-51,-42,-10,10
2837,899716,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-27,-48,-20,-40,-50,-48,19
2838,899717,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-28,-47,-20,-40,-51,-49,20
2839,899718,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-29,-46,-20,-44,-51,-50,21
2840,899719,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-30,-44,-16,-42,-49,-50,20
2841,899720,MX,Mexico,Mexico City,,,MX-CMX,,2020-07-31,-46,-14,-45,-47,-46,21
2842,899721,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-01,-44,-10,-43,-39,-15,12
2843,899722,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-02,-44,-17,-48,-37,-8,9
2844,899723,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-03,-43,-16,-41,-47,-47,18
2845,899724,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-04,-42,-17,-40,-48,-49,20
2846,899725,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-05,-41,-14,-37,-48,-48,20
2847,899726,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-06,-43,-17,-41,-49,-49,20
2848,899727,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-07,-46,-15,-40,-47,-44,20
2849,899728,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-08,-45,-16,-42,-40,-15,12
2850,899729,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-09,-44,-21,-48,-39,-8,9
2851,899730,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-10,-42,-19,-41,-47,-47,18
2852,899731,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-11,-41,-18,-39,-48,-48,19
2853,899732,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-12,-41,-17,-39,-48,-48,20
2854,899733,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-13,-41,-16,-37,-47,-48,19
2855,899734,MX,Mexico,Mexico City,,,MX-CMX,,2020-08-14,-43,-14,-42,-44,-44,19
